"REF_DATE","GEO","DGUID","Seasonal adjustment","Activities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Railway transportation","Jobs","190","thousands","3","v81662","1.2.5","3.8","","","t","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Water transportation","Jobs","190","thousands","3","v81663","1.2.6","1.4","","","t","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Bus transportation","Jobs","190","thousands","3","v81664","1.2.7","7.7","","","t","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Other transportation industries","Jobs","190","thousands","3","v19458060","1.2.16","9.5","","","t","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","101.2","","","","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","131.8","","","","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Other tourism activities","Jobs","190","thousands","3","v81669","1.2.12","52.6","","","","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Recreation and entertainment","Jobs","190","thousands","3","v81670","1.2.13","30.7","","","","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Travel agencies","Jobs","190","thousands","3","v81671","1.2.14","21.9","","","","1"
"1986-07","Canada","2016A000011124","Seasonally adjusted","Other industries","Jobs","190","thousands","3","v81672","1.2.15","81.0","","","","1"
"1986-10","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","413.0","","","","1"
"1986-10","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","333.5","","","","1"
"1986-10","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","54.1","","","","1"
"1986-10","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","34.5","","","","1"
"1986-10","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","19.6","","","","1"
"1986-10","Canada","2016A000011124","Unadjusted","Railway transportation","Jobs","190","thousands","3","v81677","1.1.5","3.6","","","t","1"
"1986-10","Canada","2016A000011124","Unadjusted","Water transportation","Jobs","190","thousands","3","v81678","1.1.6","1.3","","","t","1"
"1986-10","Canada","2016A000011124","Unadjusted","Bus transportation","Jobs","190","thousands","3","v81679","1.1.7","7.8","","","t","1"
"1986-10","Canada","2016A000011124","Unadjusted","Other transportation industries","Jobs","190","thousands","3","v19458059","1.1.16","9.1","","","t","1"
"1986-10","Canada","2016A000011124","Unadjusted","Accommodation","Jobs","190","thousands","3","v81682","1.1.10","97.9","","","","1"
"1986-10","Canada","2016A000011124","Unadjusted","Food and beverage services","Jobs","190","thousands","3","v81683","1.1.11","131.0","","","","1"
"1986-10","Canada","2016A000011124","Unadjusted","Other tourism activities","Jobs","190","thousands","3","v81684","1.1.12","50.5","","","","1"
"1986-10","Canada","2016A000011124","Unadjusted","Recreation and entertainment","Jobs","190","thousands","3","v81685","1.1.13","28.7","","","","1"
"1986-10","Canada","2016A000011124","Unadjusted","Travel agencies","Jobs","190","thousands","3","v81686","1.1.14","21.8","","","","1"
"1986-10","Canada","2016A000011124","Unadjusted","Other industries","Jobs","190","thousands","3","v81687","1.1.15","79.5","","","","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","431.2","","","","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Total tourism industries","Jobs","190","thousands","3","v81659","1.2.2","348.1","","","","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Transportation","Jobs","190","thousands","3","v81660","1.2.3","54.9","","","","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Air transportation","Jobs","190","thousands","3","v81661","1.2.4","34.9","","","","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Other transportation","Jobs","190","thousands","3","v64605557","1.2.17","20.0","","","","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Railway transportation","Jobs","190","thousands","3","v81662","1.2.5","3.8","","","t","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Water transportation","Jobs","190","thousands","3","v81663","1.2.6","1.4","","","t","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Bus transportation","Jobs","190","thousands","3","v81664","1.2.7","7.7","","","t","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Other transportation industries","Jobs","190","thousands","3","v19458060","1.2.16","9.5","","","t","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","105.5","","","","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","134.2","","","","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Other tourism activities","Jobs","190","thousands","3","v81669","1.2.12","53.5","","","","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Recreation and entertainment","Jobs","190","thousands","3","v81670","1.2.13","31.6","","","","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Travel agencies","Jobs","190","thousands","3","v81671","1.2.14","21.9","","","","1"
"1986-10","Canada","2016A000011124","Seasonally adjusted","Other industries","Jobs","190","thousands","3","v81672","1.2.15","83.1","","","","1"
"1987-01","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","434.6","","","","1"
"1987-01","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","349.8","","","","1"
"1987-01","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","54.4","","","","1"
"1987-01","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","34.3","","","","1"
"1987-01","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","20.1","","","","1"
"1987-01","Canada","2016A000011124","Unadjusted","Railway transportation","Jobs","190","thousands","3","v81677","1.1.5","3.7","","","t","1"
"1987-01","Canada","2016A000011124","Unadjusted","Water transportation","Jobs","190","thousands","3","v81678","1.1.6","1.2","","","t","1"
"1987-01","Canada","2016A000011124","Unadjusted","Bus transportation","Jobs","190","thousands","3","v81679","1.1.7","8.0","","","t","1"
"1987-01","Canada","2016A000011124","Unadjusted","Other transportation industries","Jobs","190","thousands","3","v19458059","1.1.16","9.8","","","t","1"
"1987-01","Canada","2016A000011124","Unadjusted","Accommodation","Jobs","190","thousands","3","v81682","1.1.10","105.4","","","","1"
"1987-01","Canada","2016A000011124","Unadjusted","Food and beverage services","Jobs","190","thousands","3","v81683","1.1.11","135.5","","","","1"
"1987-01","Canada","2016A000011124","Unadjusted","Other tourism activities","Jobs","190","thousands","3","v81684","1.1.12","54.5","","","","1"
"1987-01","Canada","2016A000011124","Unadjusted","Recreation and entertainment","Jobs","190","thousands","3","v81685","1.1.13","28.2","","","","1"
"1987-01","Canada","2016A000011124","Unadjusted","Travel agencies","Jobs","190","thousands","3","v81686","1.1.14","26.3","","","","1"
"1987-01","Canada","2016A000011124","Unadjusted","Other industries","Jobs","190","thousands","3","v81687","1.1.15","84.8","","","","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","441.1","","","","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Total tourism industries","Jobs","190","thousands","3","v81659","1.2.2","355.0","","","","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Transportation","Jobs","190","thousands","3","v81660","1.2.3","53.7","","","","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Air transportation","Jobs","190","thousands","3","v81661","1.2.4","34.0","","","","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Other transportation","Jobs","190","thousands","3","v64605557","1.2.17","19.7","","","","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Railway transportation","Jobs","190","thousands","3","v81662","1.2.5","3.6","","","t","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Water transportation","Jobs","190","thousands","3","v81663","1.2.6","1.3","","","t","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Bus transportation","Jobs","190","thousands","3","v81664","1.2.7","7.7","","","t","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Other transportation industries","Jobs","190","thousands","3","v19458060","1.2.16","9.7","","","t","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","105.4","","","","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","139.1","","","","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Other tourism activities","Jobs","190","thousands","3","v81669","1.2.12","56.8","","","","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Recreation and entertainment","Jobs","190","thousands","3","v81670","1.2.13","32.4","","","","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Travel agencies","Jobs","190","thousands","3","v81671","1.2.14","24.4","","","","1"
"1987-01","Canada","2016A000011124","Seasonally adjusted","Other industries","Jobs","190","thousands","3","v81672","1.2.15","86.1","","","","1"
"1987-04","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","455.4","","","","1"
"1987-04","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","366.2","","","","1"
"1987-04","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","55.3","","","","1"
"1987-04","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","35.3","","","","1"
"1987-04","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","20.0","","","","1"
"1987-04","Canada","2016A000011124","Unadjusted","Railway transportation","Jobs","190","thousands","3","v81677","1.1.5","3.5","","","t","1"
"1987-04","Canada","2016A000011124","Unadjusted","Water transportation","Jobs","190","thousands","3","v81678","1.1.6","1.4","","","t","1"
"1987-04","Canada","2016A000011124","Unadjusted","Bus transportation","Jobs","190","thousands","3","v81679","1.1.7","8.1","","","t","1"
"1987-04","Canada","2016A000011124","Unadjusted","Other transportation industries","Jobs","190","thousands","3","v19458059","1.1.16","10.2","","","t","1"
"1987-04","Canada","2016A000011124","Unadjusted","Accommodation","Jobs","190","thousands","3","v81682","1.1.10","105.4","","","","1"
"1987-04","Canada","2016A000011124","Unadjusted","Food and beverage services","Jobs","190","thousands","3","v81683","1.1.11","143.1","","","","1"
"1987-04","Canada","2016A000011124","Unadjusted","Other tourism activities","Jobs","190","thousands","3","v81684","1.1.12","62.4","","","","1"
"1987-04","Canada","2016A000011124","Unadjusted","Recreation and entertainment","Jobs","190","thousands","3","v81685","1.1.13","35.7","","","","1"
"1987-04","Canada","2016A000011124","Unadjusted","Travel agencies","Jobs","190","thousands","3","v81686","1.1.14","26.7","","","","1"
"1987-04","Canada","2016A000011124","Unadjusted","Other industries","Jobs","190","thousands","3","v81687","1.1.15","89.2","","","","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","445.0","","","","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Total tourism industries","Jobs","190","thousands","3","v81659","1.2.2","357.9","","","","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Transportation","Jobs","190","thousands","3","v81660","1.2.3","54.7","","","","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Air transportation","Jobs","190","thousands","3","v81661","1.2.4","34.9","","","","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Other transportation","Jobs","190","thousands","3","v64605557","1.2.17","19.8","","","","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Railway transportation","Jobs","190","thousands","3","v81662","1.2.5","3.4","","","t","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Water transportation","Jobs","190","thousands","3","v81663","1.2.6","1.4","","","t","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Bus transportation","Jobs","190","thousands","3","v81664","1.2.7","7.8","","","t","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Other transportation industries","Jobs","190","thousands","3","v19458060","1.2.16","9.8","","","t","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Accommodation","Jobs","190","thousands","3","v81667","1.2.10","103.4","","","","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Food and beverage services","Jobs","190","thousands","3","v81668","1.2.11","139.1","","","","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Other tourism activities","Jobs","190","thousands","3","v81669","1.2.12","60.7","","","","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Recreation and entertainment","Jobs","190","thousands","3","v81670","1.2.13","33.5","","","","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Travel agencies","Jobs","190","thousands","3","v81671","1.2.14","27.2","","","","1"
"1987-04","Canada","2016A000011124","Seasonally adjusted","Other industries","Jobs","190","thousands","3","v81672","1.2.15","87.1","","","","1"
"1987-07","Canada","2016A000011124","Unadjusted","Tourism activities","Jobs","190","thousands","3","v81673","1.1.1","463.4","","","","1"
"1987-07","Canada","2016A000011124","Unadjusted","Total tourism industries","Jobs","190","thousands","3","v81674","1.1.2","372.3","","","","1"
"1987-07","Canada","2016A000011124","Unadjusted","Transportation","Jobs","190","thousands","3","v81675","1.1.3","55.3","","","","1"
"1987-07","Canada","2016A000011124","Unadjusted","Air transportation","Jobs","190","thousands","3","v81676","1.1.4","36.3","","","","1"
"1987-07","Canada","2016A000011124","Unadjusted","Other transportation","Jobs","190","thousands","3","v64605556","1.1.17","19.0","","","","1"
"1987-07","Canada","2016A000011124","Unadjusted","Railway transportation","Jobs","190","thousands","3","v81677","1.1.5","3.4","","","t","1"
"1987-07","Canada","2016A000011124","Unadjusted","Water transportation","Jobs","190","thousands","3","v81678","1.1.6","1.5","","","t","1"
"1987-07","Canada","2016A000011124","Unadjusted","Bus transportation","Jobs","190","thousands","3","v81679","1.1.7","6.7","","","t","1"
"1987-07","Canada","2016A000011124","Unadjusted","Other transportation industries","Jobs","190","thousands","3","v19458059","1.1.16","10.2","","","t","1"
"1987-07","Canada","2016A000011124","Unadjusted","Accommodation","Jobs","190","thousands","3","v81682","1.1.10","109.5","","","","1"
