_id,ID,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
4772,148,13458353,Avenue Rd,Chaplin Cres,148,"{'type': 'Point', 'coordinates': (-79.4061560052234, 43.6987780017931)}",,,,2022-05-19T04:00:00,,CHAPLIN CRES,AVENUE RD,CHAPLIN CRES,148,,116,,53,Toronto-St. Paul's(12),,,,Avenue Rd And Chaplin Cres,Toronto and East York,6166,AVENUE RD
4773,149,13443575,Brimley Rd,Huntingwood Dr,149,"{'type': 'Point', 'coordinates': (-79.2733659976785, 43.7984070025272)}",,,,2021-04-07T04:00:00,,HUNTINGWOOD DR,BRIMLEY RD,HUNTINGWOOD DR,149,,1170,,42,Scarborough North(23),,,,Brimley Rd And Huntingwood Dr,Scarborough,6167,BRIMLEY RD
4774,150,13446436,Brimley Rd,Progress Ave,150,"{'type': 'Point', 'coordinates': (-79.2631830057711, 43.7752810004707)}",,43,,2021-05-27T04:00:00,,PROGRESS AVE,BRIMLEY RD,PROGRESS AVE,150,,1072,,41,Scarborough Centre(21),,,,Brimley Rd And Progress Ave,Scarborough,6168,BRIMLEY RD
4775,151,13454867,Kingston Rd,Brimley Rd,151,"{'type': 'Point', 'coordinates': (-79.2403629937362, 43.7182259993558)}",,43,,2021-05-25T04:00:00,BRIMLEY RD S,BRIMLEY RD,KINGSTON RD,BRIMLEY RD,151,,164,,41,Scarborough Southwest(20),,,,Kingston Rd And Brimley Rd / Brimley Rd S,Scarborough,6169,KINGSTON RD
4776,152,13448254,Lawrence Ave E,Scarborough Golf Club Rd,152,"{'type': 'Point', 'coordinates': (-79.2158379985684, 43.7618520036741)}",,,,2021-05-14T04:00:00,,SCARBOROUGH GOLF CLUB RD,LAWRENCE AVE E,SCARBOROUGH GOLF CLUB RD,152,,397,,43,Scarborough Guildwood(24),,,,Lawrence Ave E And Scarborough Golf Club Rd,Scarborough,6170,LAWRENCE AVE E
4777,153,13441620,Steeles Ave E,Markham Rd,153,"{'type': 'Point', 'coordinates': (-79.2511890036955, 43.8365980058072)}",,,,2021-06-30T04:00:00,,MARKHAM RD,STEELES AVE E,MARKHAM RD,153,,1583,,42,Scarborough North(23),,,,Steeles Ave E And Markham Rd,Scarborough,6171,STEELES AVE E
4778,154,13444609,Steeles Ave W,Bathurst St,154,"{'type': 'Point', 'coordinates': (-79.4457550064858, 43.7924070075576)}",,,,2021-12-29T05:00:00,,BATHURST ST,STEELES AVE W,BATHURST ST,154,,678,,32,York Centre(6),,Willowdale(18),,Steeles Ave W And Bathurst St,North York,6172,STEELES AVE W
4779,155,13468144,Strachan Ave,Wellington St W,155,"{'type': 'Point', 'coordinates': (-79.4114689982727, 43.6407580008455)}",,,,2021-06-21T04:00:00,DOURO ST,WELLINGTON ST W,STRACHAN AVE,WELLINGTON ST W,155,,2403,,14,Spadina-Fort York(10),,,,Strachan Ave And Wellington St W / Douro St,Toronto and East York,6173,STRACHAN AVE
4780,156,13465980,University Ave,Dundas St W,156,"{'type': 'Point', 'coordinates': (-79.3883140021352, 43.6547900061355)}",,,,2021-06-21T04:00:00,,DUNDAS ST W,UNIVERSITY AVE,DUNDAS ST W,156,,81,,52,University-Rosedale(11),,Spadina-Fort York(10),,University Ave And Dundas St W,Toronto and East York,6175,UNIVERSITY AVE
4781,157,13448519,Warden Ave,Ellesmere Rd,157,"{'type': 'Point', 'coordinates': (-79.3007509906093, 43.7611930035096)}",,,,2021-06-11T04:00:00,,ELLESMERE RD,WARDEN AVE,ELLESMERE RD,157,,694,,41,Scarborough Centre(21),,,,Warden Ave And Ellesmere Rd,Scarborough,6176,WARDEN AVE
4782,158,13443314,Warden Ave,Bridletowne Crcl,158,"{'type': 'Point', 'coordinates': (-79.31388200719341, 43.7921790026872)}",,,,2021-12-16T05:00:00,,BRIDLETOWNE CRCL,WARDEN AVE,BRIDLETOWNE CRCL,158,,1217,SOUTH INTERSECTION,42,Scarborough-Agincourt(22),,,,Warden Ave And Bridletowne Crcl,Scarborough,6177,WARDEN AVE
4783,159,13445655,Willowdale Ave,Bishop Ave,159,"{'type': 'Point', 'coordinates': (-79.4078709998587, 43.7834400045557)}",,,,2021-04-07T04:00:00,,BISHOP AVE,WILLOWDALE AVE,BISHOP AVE,159,,1640,,32,Willowdale(18),,,,Willowdale Ave And Bishop Ave,North York,6178,WILLOWDALE AVE
4784,160,13445027,Cummer Ave,Willowdale Ave,160,"{'type': 'Point', 'coordinates': (-79.409916994778, 43.7886630024238)}",,,,2021-05-25T04:00:00,,WILLOWDALE AVE,CUMMER AVE,WILLOWDALE AVE,160,,806,,32,Willowdale(18),,,,Cummer Ave And Willowdale Ave,North York,6180,CUMMER AVE
4785,161,13446551,Sheppard Ave E,Victoria Park Ave,161,"{'type': 'Point', 'coordinates': (-79.32301700056752, 43.7752440086096)}",,42,,2021-05-27T04:00:00,,VICTORIA PARK AVE,SHEPPARD AVE E,VICTORIA PARK AVE,161,,748,,33,Don Valley North(17),,Scarborough-Agincourt(22),,Sheppard Ave E And Victoria Park Ave,North York,6181,SHEPPARD AVE E
4786,162,13446970,Bathurst St,Finch Ave W,162,"{'type': 'Point', 'coordinates': (-79.4430079979777, 43.7738590056771)}",,,,2021-07-29T04:00:00,,FINCH AVE W,BATHURST ST,FINCH AVE W,162,,675,,32,York Centre(6),,Willowdale(18),,Bathurst St And Finch Ave W,North York,6182,BATHURST ST
